ID,X,Y,AI2015,PTAL2015
551,544145,157452,0,0
552,544245,157452,0,0
553,544345,157452,0,0
554,544445,157452,0,0
555,544545,157452,0,0
556,544645,157452,0,0
557,544745,157452,0,0
558,544845,157452,0,0
559,544945,157452,0,0
560,545045,157452,0,0
561,545145,157452,0,0
562,545245,157452,0,0
563,545345,157452,0.532430174001139,1a
564,545445,157452,0.545143978581899,1a
565,545545,157452,0.545912781334635,1a
566,545645,157452,0.54573071827258,1a
567,545759,157467,0.549302995532336,1a
568,528656,157539,0,0
569,528745,157552,0,0
570,528845,157552,1.8953453477169,1a
571,528945,157552,2.07738249805245,1a
572,529045,157552,2.31325301204819,1a
573,529145,157552,2.29300823572125,1a
574,529245,157552,0,0
575,529345,157552,0,0
576,529445,157552,0,0
577,529545,157552,0,0
578,529645,157552,0,0
579,529745,157552,0,0
580,529845,157552,0,0
581,529945,157552,0,0
582,530045,157552,0,0
583,530145,157552,0,0
584,530245,157552,0,0
585,530345,157552,0,0
586,530445,157552,0,0
587,530545,157552,1.91992320307188,1a
588,530645,157552,1.98381537291596,1a
589,530745,157552,2.33472119537725,1a
590,530845,157552,3.70614083461165,1b
591,530945,157552,4.5695669774486,1b
592,531045,157552,4.5831458694365,1b
593,531145,157552,4.3071014806835,1b
594,531245,157552,5.72620563427123,2
595,531345,157552,5.37289183794192,2
596,531445,157552,4.08841223125107,1b
597,531545,157552,4.09383829689489,1b
598,531645,157552,2.77973406497908,1b
599,531745,157552,2.48409662523819,1a
600,531845,157552,0.86560725955955,1a
601,531945,157552,0.809823154868556,1a
602,532045,157552,0.810906695048401,1a
603,532145,157552,0.790261346012638,1a
604,532245,157552,0.791246179764538,1a
605,532345,157552,0.776254378559854,1a
606,532445,157552,0,0
607,532545,157552,0,0
608,532645,157552,0,0
609,532745,157527,0,0
610,532845,157550,0,0
611,532945,157552,0,0
612,533045,157502,0,0
613,533136,157558,0,0
614,540395,157552,0,0
615,540545,157552,0,0
616,540645,157552,0,0
617,540745,157552,0,0
618,540845,157552,0,0
619,540945,157552,0,0
620,541045,157552,0,0
621,541139,157537,0,0
622,542563,157549,1.34393549109643,1a
623,542645,157552,1.26678489992399,1a
624,542745,157552,0,0
625,542845,157552,0,0
626,542945,157552,1.26628361587286,1a
627,543045,157552,1.29358436056508,1a
628,543145,157552,1.37133453706032,1a
629,543245,157552,1.42683883855319,1a
630,543345,157552,1.36831662846783,1a
631,543445,157552,1.33206786885792,1a
632,543545,157552,0,0
633,543645,157552,0,0
634,543745,157552,0,0
635,543845,157552,0,0
636,543945,157552,0,0
637,544045,157552,0,0
638,544145,157552,0,0
639,544245,157552,0,0
640,544345,157552,0,0
641,544445,157552,0,0
642,544545,157552,0,0
643,544645,157552,0,0
644,544745,157552,0,0
645,544845,157552,0,0
646,544945,157552,0,0
647,545045,157552,0,0
648,545145,157552,0,0
649,545245,157552,0,0
650,545345,157552,0.535351807927668,1a
651,545445,157552,0.546766785740322,1a
652,545545,157552,0.557025483915889,1a
653,545660,157572,0.559823344633471,1a
654,528632,157652,0,0
655,528745,157652,0,0
656,528845,157652,1.88420019627085,1a
657,528945,157652,2.18380345768881,1a
658,529045,157652,2.35525024533857,1a
659,529145,157652,2.68913589100036,1b
660,529245,157652,0,0
661,529345,157652,0,0
662,529445,157652,0,0
663,529545,157652,1.7561189770607,1a
664,529645,157652,0,0
665,529745,157652,0,0
666,529845,157652,0,0
667,529945,157652,0,0
668,530045,157652,0,0
669,530145,157652,0,0
670,530245,157652,0,0
671,530345,157652,0,0
672,530445,157652,0,0
673,530545,157652,0,0
674,530645,157652,2.10927818742694,1a
675,530745,157652,2.20153189927992,1a
676,530845,157652,4.91913664276761,1b
677,530945,157652,5.07199014541052,2
678,531045,157652,4.71102123259547,1b
679,531145,157652,4.81861661688222,1b
680,531245,157652,5.48042475379686,2
681,531345,157652,5.01988492547495,2
682,531445,157652,4.6888634035037,1b
683,531545,157652,4.21334767514251,1b
684,531645,157652,2.83362949434714,1b
685,531745,157652,2.5123496426179,1b
686,531845,157652,0.898260742637069,1a
687,531945,157652,0.858261662524362,1a
688,532045,157652,0.831655583700937,1a
689,532145,157652,0.839968501181206,1a
690,532245,157652,0.80563947633434,1a
691,532345,157652,0,0
692,532445,157652,0,0
693,532545,157652,0,0
694,532645,157652,0,0
