Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Croydon__Addiscombe,00AHGE,E05000146,17750.00,8956.00,4000.00,250000.00,38070.00,4.60
Croydon__Ashburton,00AHGF,E05000147,15150.00,6863.00,1800.00,347000.00,38600.00,2.90
Croydon__Bensham_Manor,00AHGG,E05000148,16600.00,7344.00,1800.00,246250.00,33530.00,3.30
Croydon__Broad_Green,00AHGH,E05000149,20050.00,8096.00,11300.00,231000.00,31000.00,4.70
Croydon__Coulsdon_East,00AHGJ,E05000150,12700.00,5534.00,2700.00,375000.00,42660.00,1.90
Croydon__Coulsdon_West,00AHGK,E05000151,14150.00,6565.00,3700.00,361000.00,46610.00,2.50
Croydon__Croham,00AHGL,E05000152,16200.00,8417.00,5100.00,250000.00,42260.00,3.30
Croydon__Fairfield,00AHGM,E05000153,21750.00,8567.00,31500.00,236000.00,39130.00,5.70
Croydon__Fieldway,00AHGN,E05000154,11850.00,3947.00,500.00,220000.00,26720.00,2.90
Croydon__Heathfield,00AHGP,E05000155,13600.00,6385.00,2300.00,260000.00,39770.00,2.30
Croydon__Kenley,00AHGQ,E05000156,15650.00,7217.00,2400.00,340000.00,44160.00,1.90
Croydon__New_Addington,00AHGR,E05000157,11250.00,4273.00,2200.00,245000.00,28770.00,2.70
Croydon__Norbury,00AHGS,E05000158,17100.00,7506.00,2400.00,350000.00,36810.00,3.10
Croydon__Purley,00AHGT,E05000159,15550.00,7086.00,4700.00,320000.00,44600.00,2.90
Croydon__Sanderstead,00AHGU,E05000160,13200.00,5928.00,2100.00,392500.00,47030.00,1.70
Croydon__Selhurst,00AHGW,E05000161,18550.00,7821.00,6700.00,212998.00,31220.00,4.20
Croydon__Selsdon_and_Ballards,00AHGX,E05000162,12200.00,5821.00,2300.00,344000.00,45320.00,2.00
