,id,type,first node,amenity,lat,lon
7546,119864158,way,1345324236,parking,,
7547,119901358,way,1389385030,pharmacy,,
7548,119903501,way,1345654356,pub,,
7549,119903503,way,1345654361,clinic,,
7550,119903505,way,1345654363,cafe,,
7551,119967549,way,1346345233,parking,,
7552,119967555,way,1346345242,social_club,,
7553,119967956,way,1346347967,place_of_worship,,
7554,119969114,way,1346358030,social_club,,
7555,120184607,way,1348183455,community_centre,,
7556,120191745,way,1348207039,parking,,
7557,120191748,way,1348207045,parking,,
7558,120192806,way,1348216874,fast_food,,
7559,120192808,way,1348216850,fast_food,,
7560,120192812,way,1348216847,pharmacy,,
7561,120195148,way,1348235153,veterinary,,
7562,120195149,way,1348235113,fast_food,,
7563,120226558,way,1348499326,parking,,
7564,120230381,way,1348540005,community_centre,,
7565,120241896,way,1348711799,parking,,
7566,120331316,way,1349471321,college,,
7567,120335852,way,1349511925,bench,,
7568,120340397,way,1349530179,parking,,
7569,120358305,way,1349657280,fast_food,,
7570,120358310,way,1349657348,fast_food,,
7571,120359076,way,1349663957,hospital,,
7572,120359078,way,1349663894,parking,,
7573,120359738,way,1349671100,shelter,,
7574,120361021,way,1349689615,hospital,,
7575,120361022,way,1349689594,cafe,,
7576,120361024,way,1349689674,fast_food,,
7577,120361025,way,1349689687,fast_food,,
7578,120362631,way,1349700688,fast_food,,
7579,120363020,way,1349705472,place_of_worship,,
7580,120363021,way,1349705468,fast_food,,
7581,120418971,way,333543952,parking,,
7582,120441927,way,1350455948,parking,,
7583,120468639,way,1350746274,parking,,
7584,120474495,way,1350795151,parking,,
7585,120474496,way,1350795149,fast_food,,
7586,120654478,way,1352350631,bank,,
7587,120675655,way,1352490582,school,,
7588,120676358,way,1352499340,school,,
7589,120676359,way,1352499336,school,,
7590,120745423,way,1353091463,community_centre,,
7591,120935754,way,1354753213,pub,,
7592,120937896,way,1354791748,school,,
7593,121038966,way,1355676007,community_centre,,
7594,121083434,way,1356260353,pub,,
7595,121083435,way,1356260222,restaurant,,
7596,121101761,way,1356415277,pub,,
7597,121101785,way,1356416071,pub,,
7598,121101816,way,510906258,pub,,
7599,121263594,way,1358019638,pub,,
7600,121263924,way,1358023878,parking,,
7601,121268085,way,1358085237,fuel,,
7602,121375101,way,1359128784,place_of_worship,,
7603,121492403,way,1359899965,hospital,,
7604,121526242,way,1360237821,pub,,
7605,121526267,way,1360237619,pub,,
7606,121526273,way,1360237848,pub,,
7607,121533066,way,1356260195,restaurant,,
7608,121533789,way,1360312222,veterinary,,
7609,121558827,way,1360601906,restaurant,,
7610,121558829,way,1360601902,dentist,,
7611,121558830,way,1360601840,pub,,
7612,121627221,way,1361004744,fountain,,
7613,121762435,way,1362151216,hospital,,
7614,121854945,way,1363068956,social_club,,
7615,121861383,way,1363130161,parking,,
7616,121897857,way,1363418773,restaurant,,
7617,121897859,way,1363418780,pub,,
7618,122009319,way,1364375840,cafe,,
7619,122009326,way,1364375756,cafe,,
7620,122009329,way,1364375817,restaurant,,
7621,122020336,way,1364437074,cafe,,
7622,122020337,way,1364437084,restaurant,,
7623,122020338,way,4249523641,restaurant,,
7624,122020339,way,1364437080,restaurant,,
7625,122020341,way,1364437087,restaurant,,
7626,122020342,way,1364437089,restaurant,,
7627,122068098,way,1364856431,dentist,,
7628,122069959,way,1364874897,restaurant,,
7629,122069961,way,1364874854,pub,,
7630,122077798,way,1364956069,social_facility,,
7631,122158140,way,3785996036,parking,,
7632,122161505,way,166316564,fountain,,
7633,122161506,way,1365903390,parking,,
7634,122161507,way,1365903291,bicycle_parking,,
7635,122161508,way,1365903342,parking,,
7636,122184667,way,1366058748,conference_centre,,
7637,122184674,way,1366094992,parking,,
7638,122187910,way,1366094996,pub,,
7639,122227536,way,1366473472,hospital,,
7640,122227537,way,1366473481,hospital,,
7641,122227995,way,1366481977,school,,
7642,122228354,way,248558166,school,,
7643,122260658,way,1366736261,pub,,
7644,122260685,way,1366736371,place_of_worship,,
7645,122260724,way,1366736629,restaurant,,
7646,122260742,way,1366736143,restaurant,,
7647,122260743,way,1366736364,restaurant,,
7648,122294742,way,1366988713,place_of_worship,,
7649,122297268,way,1367017837,school,,
7650,122297582,way,1367017932,social_facility,,
7651,122298467,way,1367035575,parking,,
7652,122301362,way,1367064279,parking,,
7653,122302794,way,1367079784,parking,,
7654,122302796,way,1367079806,parking,,
7655,122317991,way,1367274387,place_of_worship,,
7656,122317993,way,1367274399,pub,,
7657,122317997,way,1367274388,parking,,
7658,122318070,way,1367279009,hospital,,
7659,122318318,way,1367288644,church_hall,,
7660,122414809,way,3379919912,school,,
7661,122462279,way,1368399364,bank,,
7662,122462281,way,1368399354,bank,,
7663,122462284,way,1368399348,bank,,
7664,122463739,way,1368458182,police,,
7665,122463741,way,1368458139,cafe,,
7666,122463743,way,1368458168,fast_food,,
7667,122596591,way,1369477669,bank,,
7668,122597474,way,1369486182,parking,,
7669,122597479,way,1369486188,fast_food,,
7670,122597484,way,1369486191,pub,,
7671,122598869,way,1369500112,bank,,
7672,122598870,way,1369500132,post_office,,
7673,122598871,way,1369500130,bank,,
7674,122599103,way,1369503238,parking,,
7675,122726782,way,1370570234,gym,,
7676,122726785,way,1370570240,fast_food,,
7677,122727268,way,1370575580,fast_food,,
7678,122727826,way,1370583235,dentist,,
7679,122728064,way,1370586525,fast_food,,
7680,122728072,way,1370586500,restaurant,,
7681,122728328,way,1370590167,taxi,,
7682,122728332,way,1370590155,fast_food,,
7683,122809170,way,1371250271,fast_food,,
7684,122814326,way,1371263910,restaurant,,
7685,122814328,way,1371263931,restaurant,,
7686,122814330,way,1371263905,restaurant,,
7687,122842212,way,1371471155,place_of_worship,,
7688,122843684,way,1371473438,fuel,,
7689,122850042,way,2086921111,hospital,,
7690,122861284,way,1371574354,parking,,
7691,122861290,way,1371574258,parking,,
7692,122861609,way,1371575117,parking,,
7693,122862041,way,1371578394,place_of_worship,,
7694,122865208,way,1371597368,cafe,,
7695,122865212,way,1371597454,pharmacy,,
7696,122865219,way,1371597366,fast_food,,
7697,122865225,way,1371597433,fast_food,,
7698,122868062,way,1371610185,police,,
7699,122868372,way,1371612488,post_office,,
7700,122868373,way,1371612490,fast_food,,
7701,122869484,way,1371620177,fast_food,,
7702,122869488,way,1371620178,taxi,,
7703,122870526,way,1371630965,cafe,,
7704,122871370,way,1371670949,fast_food,,
7705,122871371,way,1371670982,cafe,,
7706,122871373,way,1371670945,fast_food,,
7707,122871638,way,1371681702,pub,,
7708,122871639,way,1371681706,parking,,
7709,122875352,way,1371706291,place_of_worship,,
7710,122876948,way,1371708831,bank,,
7711,122878631,way,1371710447,post_office,,
7712,122885733,way,1371733727,parking,,
7713,122885827,way,1371733720,pub,,
7714,122887659,way,1371758173,post_office,,
7715,122888242,way,1371764922,hospital,,
7716,122888252,way,1371764990,place_of_worship,,
7717,122888258,way,1371765031,pub,,
7718,123092724,way,1373786718,restaurant,,
7719,123092737,way,1373786405,fast_food,,
7720,123092742,way,1373786575,pub,,
7721,123092747,way,1373786408,bureau_de_change,,
7722,123092754,way,1373786431,parking,,
7723,123092761,way,1373786718,fast_food,,
7724,123125907,way,1374041120,pub,,
7725,123158045,way,1374296434,pub,,
7726,123158047,way,1374296413,place_of_worship,,
7727,123186015,way,1374548503,restaurant,,
7728,123186058,way,1374548551,restaurant,,
7729,123186063,way,1374549002,school,,
7730,123271721,way,804478966,parking,,
7731,123308586,way,1375561657,kindergarten,,
7732,123314475,way,1375604060,school,,
7733,123314477,way,1375603907,college,,
7734,123318572,way,1375634473,pub,,
7735,123372120,way,1376038613,parking,,
7736,123372140,way,1376038808,pharmacy,,
7737,123372143,way,1376038739,doctors,,
7738,123372160,way,1376038846,school,,
7739,123372196,way,1376038830,school,,
7740,123372204,way,1376038953,fast_food,,
7741,123372209,way,1376038827,bank,,
7742,123372214,way,1376038582,post_office,,
7743,123372215,way,1376038716,restaurant,,
7744,123372224,way,1376038550,pub,,
7745,123372232,way,1376038619,police,,
7746,123372233,way,1376038939,clinic,,
7747,123372243,way,1376038934,place_of_worship,,
7748,123444154,way,1376582816,cinema,,
7749,123701971,way,1378606988,pub,,
7750,123701976,way,1378607033,cinema,,
7751,123702968,way,1378653720,theatre,,
7752,123702996,way,1378656131,pub,,
7753,123704059,way,1378668865,fast_food,,
7754,123704066,way,1378668898,cafe,,
7755,123796105,way,1379315880,pub,,
7756,123800026,way,1379335782,post_office,,
7757,123802751,way,1379352337,place_of_worship,,
7758,123803380,way,1379357094,parking,,
7759,123838807,way,615142732,parking,,
7760,123978246,way,1381000225,place_of_worship,,
7761,124030215,way,1381538755,cafe,,
7762,124038814,way,1381574532,pharmacy,,
7763,124038815,way,1381574499,cafe,,
7764,124073570,way,1381845207,place_of_worship,,
