,id,lat,lon,amenity
270,4989331,51.4728041,-0.3850105,parking
271,4989336,51.4751172,-0.3928009,fuel
272,4993542,51.6521341,-0.0762539,parking
273,4993658,51.5766347,0.1785042,parking
274,4993707,51.5706049,0.183533,parking
275,4993716,51.5695219,0.1840909,parking
276,4993735,51.5696019,0.1825202,parking
277,4993876,51.5812465,0.1762718,parking
278,4993881,51.5793584,0.1785634,parking
279,4996181,51.4809517,-0.1988812,place_of_worship
280,4996349,51.4739758,-0.3776981,school
281,4996718,51.4545882,-0.1908467,parking
282,5002502,51.4734348,-0.3794889,parking
283,5002527,51.4678492,-0.3861975,public_building
284,5002528,51.4671816,-0.3830841,school
285,5002529,51.4672939,-0.3862412,school
286,5002548,51.4745066,-0.3610031,school
287,5007797,51.4122423,-0.1568278,school
288,5007800,51.4120336,-0.1561325,school
289,5010077,51.3641834,-0.2341014,parking
290,5010086,51.3567164,-0.2392777,parking
291,5012632,51.44896,-0.1059625,cafe
292,5012795,51.4703756,-0.3998667,school
293,5014215,51.6043129,0.2093238,school
294,5014233,51.6409619,0.1666637,school
295,5015045,51.4528268,-0.0880234,school
296,5019341,51.4770703,0.3216381,parking
297,5019429,51.5226856,0.2946745,parking
298,5019865,51.3818446,-0.1262413,parking
299,5020007,51.5783562,0.1789398,parking
300,5020151,51.5664138,0.1906245,parking
301,5020154,51.5658577,0.1884136,parking
302,5022048,51.6505967,-0.080534,parking
303,5022131,51.6524696,-0.1103962,school
304,5022226,51.3653,-0.1902642,school
305,5022227,51.3648747,-0.1915357,parking
306,5022314,51.6564603,-0.1385112,parking
307,5028932,51.446659,-0.0837073,parking
308,5028979,51.4465045,-0.0827443,toilets
309,5032760,51.4816989,-0.3513472,parking
310,5034164,51.3683606,-0.1438123,school
311,5034509,51.3676595,-0.1458391,school
312,5042464,51.6867394,-0.2042016,school
313,5043306,51.5584525,-0.1683591,parking
314,5044049,51.4910399,-0.4145449,parking
315,5044057,51.486021,-0.3751912,parking
316,5044058,51.485029,-0.367835,school
317,5044061,51.486333,-0.3724334,grave_yard
318,5044062,51.4865872,-0.4104958,school
319,5048197,51.4715593,-0.3869994,parking
320,5048199,51.4717775,-0.3863381,parking
321,5048202,51.4739724,-0.3898679,parking
322,5053286,51.4602379,-0.4142943,parking
323,5053340,51.4696949,-0.3968136,parking
324,5061027,51.6706716,0.0551078,parking
325,5061130,51.668078,0.064539,parking
326,5068503,51.473141,-0.3279677,school
327,5068515,51.4696827,-0.3283623,school
328,5068522,51.4745011,-0.3382002,parking
329,5068525,51.4753122,-0.3430918,fire_station
330,5068526,51.4772527,-0.3431105,college
331,5074257,51.4071677,-0.5095044,parking
332,5074258,51.4044725,-0.5058805,parking
333,5076630,51.651371,-0.1716248,parking
334,5076640,51.6572601,-0.1733949,school
335,5076647,51.6553753,-0.1675497,school
336,5076651,51.6561045,-0.1801747,parking
337,5081403,51.4755941,-0.3283238,school
338,5081409,51.4787761,-0.3236506,school
339,5081762,51.480544,-0.2608887,school
340,5096519,51.499549,0.0025605,parking
341,5096771,51.4795966,-0.3400708,school
342,5096788,51.4775407,-0.3229938,school
343,5096809,51.4778097,-0.3146598,parking
344,5096815,51.4783643,-0.3280227,school
345,5105233,51.6568484,0.0369096,parking
346,5110969,51.457027,0.2212337,parking
347,5112996,51.4733177,-0.0677865,parking
348,5123537,51.4822675,-0.3456508,library
349,5123542,51.4852536,-0.3727266,parking
350,5133633,51.4325235,0.2048875,college
351,5153883,51.4424438,0.2107477,parking
352,5179388,51.5910047,-0.0151104,local government office
353,5179389,51.5906334,-0.0095904,college
354,5182576,51.3726681,-0.1504554,parking
