,id,lat,lon,amenity,type
117,2642857045,51.5137058,-0.0876506,tobacco,Shopping
285,3997516207,51.5148749,-0.0788224,tobacco,Shopping
49,748079263,51.5138715,-0.101207,travel_agency,Services
73,1678155296,51.5125993,-0.093799,travel_agency,Services
81,1717643422,51.5136819,-0.0909619,travel_agency,Services
194,3322101578,51.5106161,-0.0852229,travel_agency,Services
335,4628672425,51.5117347,-0.0809707,travel_agency,Services
137,2642857192,51.5134106,-0.087469,accessories,Shopping
297,4391979715,51.5171329,-0.0828056,accessories,Shopping
159,3071846406,51.5172104,-0.0799083,alcohol,Shopping
251,3656092754,51.5227279,-0.0976313,alcohol,Shopping
