,id,lat,lon,amenity,classification,tags
7038,219948118,51.4806188,-0.1519521,stadium,,"{u'building': u'yes', u'name': u'Millennium Stadium', u'leisure': u'stadium'}"
7039,220136265,51.5463387,-0.3349678,pitch,,{u'leisure': u'pitch'}
7040,220136266,51.5457016,-0.336277,pitch,,{u'leisure': u'pitch'}
7041,220136267,51.5468386,-0.3358152,pitch,,{u'leisure': u'pitch'}
7042,220136268,51.5483902,-0.3338456,pitch,,{u'leisure': u'pitch'}
7043,220205951,51.5733945,-0.0094956,sports_centre,,"{u'building': u'yes', u'source': u'bing', u'name': u'Leyton Leisure Centre', u'leisure': u'sports_centre'}"
7044,220221722,51.5997723,0.0554341,playground,,"{u'website': u'http://elhap.org.uk/', u'source': u'survey', u'name': u'ELHAP Special Needs Adventure Playground', u'leisure': u'playground'}"
7045,220254288,51.6056208,0.0534416,park,,{u'leisure': u'park'}
7046,220269217,51.5521642,-0.3392823,park,,{u'leisure': u'park'}
7047,220351161,51.5549088,-0.3437362,pitch,,{u'leisure': u'pitch'}
7048,220362653,51.5298756,-0.0620183,park,,{u'leisure': u'park'}
7049,220362655,51.5292513,-0.0597213,park,,{u'leisure': u'park'}
7050,220363360,51.5980224,-0.1181124,garden,,"{u'name': u'Avenue Gardens', u'leisure': u'garden'}"
7051,220363361,51.5999003,-0.1169502,garden,,"{u'name': u'Nightingale Gardens', u'leisure': u'garden'}"
7052,220383600,51.4655683,-0.0344297,garden,,{u'leisure': u'garden'}
7053,220383601,51.4657767,-0.0351528,garden,,{u'leisure': u'garden'}
7054,220383602,51.4659247,-0.0349556,garden,,{u'leisure': u'garden'}
7055,220383603,51.4656044,-0.0343009,garden,,{u'leisure': u'garden'}
7056,220383604,51.4662694,-0.0336811,garden,,{u'leisure': u'garden'}
7057,220383605,51.4656632,-0.0337598,garden,,{u'leisure': u'garden'}
7058,220383606,51.4656263,-0.0340176,garden,,{u'leisure': u'garden'}
7059,220383607,51.4656121,-0.0341023,garden,,{u'leisure': u'garden'}
7060,220383608,51.4656376,-0.0339351,garden,,{u'leisure': u'garden'}
7061,220383609,51.4656503,-0.0338526,garden,,{u'leisure': u'garden'}
7062,220383610,51.4656806,-0.0336725,garden,,{u'leisure': u'garden'}
7063,220383611,51.4655522,-0.0347109,garden,,{u'leisure': u'garden'}
7064,220383612,51.4655325,-0.0348144,garden,,{u'leisure': u'garden'}
7065,220383613,51.4655587,-0.0345194,garden,,{u'leisure': u'garden'}
7066,220383614,51.4656909,-0.0335713,garden,,{u'leisure': u'garden'}
7067,220383615,51.4665752,-0.0335198,garden,,{u'leisure': u'garden'}
7068,220383616,51.4655977,-0.0341943,garden,,{u'leisure': u'garden'}
7069,220383617,51.4658521,-0.034923,garden,,{u'leisure': u'garden'}
7070,220383618,51.4655456,-0.0346071,garden,,{u'leisure': u'garden'}
7071,220407365,51.4704038,-0.0328259,garden,,{u'leisure': u'garden'}
7072,220407366,51.4699624,-0.0332302,garden,,{u'leisure': u'garden'}
7073,220435484,51.4746278,0.0243913,garden,,{u'leisure': u'garden'}
7074,220435485,51.4747292,0.0241861,garden,,{u'leisure': u'garden'}
7075,220435486,51.4746908,0.0248172,garden,,{u'leisure': u'garden'}
7076,220435487,51.4748287,0.0249002,garden,,{u'leisure': u'garden'}
7077,220435488,51.4749176,0.0246844,garden,,{u'leisure': u'garden'}
7078,220435489,51.4748575,0.024282,garden,,{u'leisure': u'garden'}
7079,220436175,51.4681289,0.0275647,garden,,{u'leisure': u'garden'}
7080,220457367,51.5144352,-0.01156,pitch,,{u'leisure': u'pitch'}
7081,220486782,51.4687357,-0.0334959,garden,,{u'leisure': u'garden'}
7082,220592572,51.4613521,-0.1743411,garden,,{u'leisure': u'garden'}
7083,220593232,51.4571414,-0.176282,garden,,"{u'access': u'private', u'leisure': u'garden'}"
7084,220622572,51.5358459,-0.3263135,playground,,{u'leisure': u'playground'}
7085,220622575,51.5352558,-0.3262743,social_club,,"{u'building': u'yes', u'name': u'Perivale Residents Association', u'leisure': u'social_club'}"
7086,220737963,51.4640083,-0.0138195,sports_centre,,"{u'building': u'yes', u'name': u'Glass Mill Leisure Centre', u'leisure': u'sports_centre'}"
7087,220859061,51.5314511,-0.3287719,park,,"{u'name': u'Perivale East Meadow', u'leisure': u'park'}"
7088,220859062,51.5303796,-0.3283843,park,,{u'leisure': u'park'}
7089,220860026,51.5302241,-0.3334845,park,,{u'leisure': u'park'}
7090,220860027,51.5331724,-0.3288572,pitch,,{u'leisure': u'pitch'}
7091,220860030,51.5329982,-0.3285092,sports_centre,,"{u'building': u'yes', u'name': u'Hanwell Town Football Club', u'leisure': u'sports_centre'}"
7092,220920776,51.5287879,-0.3554429,park,,{u'leisure': u'park'}
7093,220958851,51.4182312,0.0498178,playground,,{u'leisure': u'playground'}
7094,220958852,51.4181643,0.0501594,pitch,,{u'leisure': u'pitch'}
7095,221018156,51.5735096,-0.1022016,fitness_station,,{u'leisure': u'fitness_station'}
7096,221046877,51.5355148,-0.3489002,social_club,,"{u'building': u'yes', u'name': u'Royal British Legion Club Greenford', u'leisure': u'social_club'}"
7097,221069880,51.5151977,-0.3271928,playground,,{u'leisure': u'playground'}
7098,221072043,51.5319239,-0.3513409,nature_reserve,,"{u'name': u'Litten Local Nature Reserve', u'leisure': u'nature_reserve'}"
7099,221086207,51.5194754,-0.3475498,playground,,{u'leisure': u'playground'}
7100,221122455,51.517354,-0.3470841,golf_course,,"{u'sport': u'golf', u'name': u'Brent Valley Public Golf Course', u'leisure': u'golf_course'}"
7101,221131649,51.5014774,-0.4457234,pitch,,{u'leisure': u'pitch'}
7102,221131651,51.4960102,-0.4399803,pitch,,{u'leisure': u'pitch'}
7103,221165841,51.4617155,-0.1738436,garden,,"{u'access': u'public', u'leisure': u'garden'}"
7104,221187704,51.4565584,-0.171244,playground,,"{u'name': u""Wandsworth Common disabled children's adventure playground"", u'leisure': u'playground'}"
7105,221187705,51.4533058,-0.1686272,pitch,,"{u'sport': u'soccer', u'leisure': u'pitch'}"
7106,221187706,51.4555942,-0.1705681,pitch,,"{u'sport': u'soccer', u'leisure': u'pitch'}"
7107,221187707,51.4569597,-0.1713095,playground,,{u'leisure': u'playground'}
7108,221187708,51.4547217,-0.1699646,pitch,,"{u'sport': u'soccer', u'leisure': u'pitch'}"
7109,221187709,51.454929,-0.1691922,pitch,,"{u'sport': u'soccer', u'leisure': u'pitch'}"
7110,221187710,51.4567682,-0.1718167,pitch,,"{u'sport': u'tennis', u'leisure': u'pitch'}"
7111,221187711,51.455798,-0.1697903,pitch,,"{u'sport': u'soccer', u'leisure': u'pitch'}"
7112,221187712,51.4538936,-0.1693638,pitch,,"{u'sport': u'soccer', u'leisure': u'pitch'}"
7113,221191528,51.5148976,-0.3617047,park,,"{u'name': u'Dormers Wells Moated Manor', u'leisure': u'park'}"
7114,221209059,51.5137663,-0.3570009,golf_course,,"{u'sport': u'golf', u'name': u'West Middlesex Golf Course', u'leisure': u'golf_course'}"
7115,221242819,51.6522223,-0.0878394,pitch,,"{u'sport': u'bowling_green', u'surface': u'grass', u'leisure': u'pitch'}"
7116,221310476,51.4120184,-0.3171951,sports_centre,,"{u'building': u'yes', u'name': u'Hampton Wick Royal Cricket Club', u'addr:postcode': u'KT1 4AZ', u'leisure': u'sports_centre', u'fhrs:id': u'353021', u'source:addr': u'FHRS Open Data', u'sport': u'cricket', u'addr:street': u'Park Road'}"
7117,221333963,51.4698465,-0.0321379,playground,,{u'leisure': u'playground'}
7118,221337655,51.5229016,-0.3546968,common,,"{u'name': u'Windmill Lane Recreation Ground', u'leisure': u'common'}"
7119,221337656,51.5154358,-0.3591989,park,,{u'leisure': u'park'}
7120,221351282,51.5123618,-0.3489946,playground,,{u'leisure': u'playground'}
7121,221353832,51.5129398,-0.3432385,pitch,,"{u'sport': u'basketball', u'leisure': u'pitch'}"
7122,221392218,51.5154657,-0.3503351,pitch,,"{u'sport': u'cricket', u'name': u'Hanwell Cricket Ground', u'leisure': u'pitch'}"
7123,221471632,51.489946,0.0673283,garden,,{u'leisure': u'garden'}
7124,221471635,51.4902397,0.0674795,garden,,{u'leisure': u'garden'}
7125,221487482,51.533208,-0.0450124,park,,"{u'leaf_cycle': u'deciduous', u'leisure': u'park'}"
7126,221487483,51.5336549,-0.0446717,park,,"{u'leaf_cycle': u'deciduous', u'leisure': u'park'}"
