,id,center,lat,lon,amenity,classification,tags
2928,195390046,"{u'lat': 51.5897385, u'lon': -0.0182481}",51.5897385,-0.0182481,hairdresser,,"{u'addr:housenumber': u'30', u'building': u'retail', u'addr:city': u'London', u'shop': u'hairdresser', u'addr:suburb': u'Walthamstow', u'name': u'DVH Salon', u'source': u'survey', u'addr:country': u'GB', u'addr:street': u'Hoe Street'}"
2929,195390047,"{u'lat': 51.5899594, u'lon': -0.0178798}",51.5899594,-0.0178798,hairdresser,,"{u'addr:housenumber': u'16', u'building': u'retail', u'addr:city': u'London', u'shop': u'hairdresser', u'addr:suburb': u'Walthamstow', u'name': u'Omar Barber Salon', u'source': u'survey', u'addr:country': u'GB', u'addr:street': u'Hoe Street'}"
2930,195390053,"{u'lat': 51.5897116, u'lon': -0.018305}",51.5897116,-0.018305,beauty,,"{u'addr:housenumber': u'32', u'building': u'retail', u'addr:city': u'London', u'shop': u'beauty', u'addr:suburb': u'Walthamstow', u'name': u'Bellissa', u'source': u'survey', u'addr:country': u'GB', u'addr:street': u'Hoe Street'}"
2931,195390054,"{u'lat': 51.589808, u'lon': -0.0181546}",51.589808,-0.0181546,convenience,,"{u'addr:housenumber': u'26', u'building': u'retail', u'addr:city': u'London', u'shop': u'convenience', u'addr:suburb': u'Walthamstow', u'name': u'Metro Express', u'source': u'survey', u'addr:country': u'GB', u'addr:street': u'Hoe Street'}"
2932,195390055,"{u'lat': 51.5895866, u'lon': -0.0187085}",51.5895866,-0.0187085,hairdresser,,"{u'addr:housenumber': u'46', u'building': u'retail', u'addr:city': u'London', u'shop': u'hairdresser', u'addr:suburb': u'Walthamstow', u'name': u""T'z Barber Shop"", u'source': u'survey', u'male': u'yes', u'addr:country': u'GB', u'addr:street': u'Hoe Street'}"
2933,195390056,"{u'lat': 51.5897255, u'lon': -0.0184019}",51.5897255,-0.0184019,hairdresser,,"{u'addr:housenumber': u'34', u'building': u'retail', u'addr:city': u'London', u'shop': u'hairdresser', u'addr:suburb': u'Walthamstow', u'name': u'Divine', u'source': u'survey', u'addr:country': u'GB', u'addr:street': u'Hoe Street'}"
2934,195603403,"{u'lat': 51.5900967, u'lon': -0.0161197}",51.5900967,-0.0161197,stationery,,"{u'building': u'yes', u'shop': u'stationery', u'name': u""Vandy's Art & Graphic Centre"", u'addr:street': u'Forest Road'}"
2935,195603404,"{u'lat': 51.5900493, u'lon': -0.0158208}",51.5900493,-0.0158208,convenience,,"{u'building': u'yes', u'shop': u'convenience', u'name': u'Forest Mini Market', u'addr:street': u'Forest Road'}"
2936,195641877,"{u'lat': 51.4015051, u'lon': -0.2672247}",51.4015051,-0.2672247,yes,,"{u'building': u'yes', u'shop': u'yes', u'amenity': u'fuel', u'brand': u'Murco', u'layer': u'0'}"
2937,195669384,"{u'lat': 51.5234758, u'lon': -0.076331}",51.5234758,-0.076331,mall,,"{u'addr:housenumber': u'2-10', u'building': u'retail', u'landuse': u'commercial', u'addr:city': u'London', u'shop': u'mall', u'building:levels': u'2', u'addr:postcode': u'E1 6GQ', u'wheelchair': u'limited', u'addr:housename': u'Boxpark Shoreditch', u'name': u'Boxpark Shoreditch', u'website': u'http://www.boxpark.co.uk/', u'internet_access': u'wlan', u'addr:country': u'GB', u'addr:street': u'Bethnal Green Road'}"
2938,195758178,"{u'lat': 51.5468058, u'lon': -0.0507698}",51.5468058,-0.0507698,clothes,,"{u'shop': u'clothes', u'name': u'Aquascutum'}"
2939,195928315,"{u'lat': 51.3772696, u'lon': -0.2745551}",51.3772696,-0.2745551,garden_centre,,"{u'shop': u'garden_centre', u'landuse': u'retail'}"
2940,196168864,"{u'lat': 51.5906747, u'lon': -0.0206042}",51.5906747,-0.0206042,electronics,,"{u'building': u'retail', u'note': u'This was Rapid Radio. Closed as of April 2016.', u'shop': u'electronics'}"
2941,196364244,"{u'lat': 51.5101275, u'lon': 0.0130876}",51.5101275,0.0130876,car_repair,,"{u'building': u'yes', u'shop': u'car_repair', u'name': u'London City Garages', u'source': u'Bing;survey'}"
2942,196385632,"{u'lat': 51.3782525, u'lon': -0.1018891}",51.3782525,-0.1018891,travel_agency,,"{u'addr:housenumber': u'18', u'building': u'retail', u'name': u'A & S Trading Agency', u'shop': u'travel_agency', u'source': u'survey', u'addr:street': u'Station Road'}"
2943,196385634,"{u'lat': 51.3783928, u'lon': -0.1017994}",51.3783928,-0.1017994,electronics,,"{u'addr:housenumber': u'28', u'building': u'retail', u'name': u'Electronics Exchange', u'shop': u'electronics', u'source': u'survey', u'old_name': u'Arctic Finance and Estates', u'addr:street': u'Station Road'}"
2944,196385635,"{u'lat': 51.3780951, u'lon': -0.1020802}",51.3780951,-0.1020802,beauty,,"{u'addr:housenumber': u'10', u'building': u'retail', u'name': u'Beauty Queen', u'shop': u'beauty', u'source': u'survey', u'addr:street': u'Station Road'}"
