id,lat,lon,amenity
262566445,51.5546535,-0.3537862,convenience
262566446,51.5547002,-0.353693,laundry
263017298,51.5602543,-0.0777051,convenience
263017299,51.5577371,-0.0790332,convenience
263017300,51.5573976,-0.0901247,convenience
263017301,51.5619667,-0.0751152,market
263018277,51.5622036,-0.0752635,supermarket
263018280,51.5606161,-0.073687,bakery
263018284,51.5617221,-0.0738278,newsagent
264046250,51.4356403,-0.0339325,supermarket
264515623,51.5173718,-0.1206414,supermarket
264523231,51.505058,-0.0827746,supermarket
264625687,51.5263967,-0.0880415,convenience
264803334,51.487748,-0.1115161,beverages
265254508,51.4900199,-0.1072982,chemist
265255750,51.5101799,-0.2871931,supermarket
265589275,51.4391245,-0.0535165,newsagent
265662963,51.4958139,-0.1419953,bicycle
265719872,51.4683121,-0.2234489,bicycle
266415275,51.4965622,-0.0091503,convenience
266739707,51.3669594,-0.1960861,music
267432003,51.501141,-0.125277,supermarket
268123996,51.3583125,-0.2163848,charity
268124547,51.3578419,-0.2159346,charity
268124749,51.3584548,-0.2167147,charity
268545073,51.529617,0.0476642,newsagent
268545077,51.5294739,0.0470544,laundry
268545091,51.5263034,0.0431264,beverages
268587848,51.5332975,0.0138469,laundry
268642678,51.538411,0.0049209,laundry
269146388,51.5323798,0.0159153,convenience
269146451,51.5368068,0.0165392,convenience
269198264,51.3630142,-0.1733598,hairdresser
269198265,51.3629899,-0.1737379,books
269198268,51.3629841,-0.1740639,car
269198280,51.3630041,-0.1728877,door
269198291,51.3570637,-0.1706537,estate_agent
269198294,51.3571738,-0.1710306,car_repair
269198300,51.3566944,-0.1707261,gift
269236121,51.5553489,-0.0051653,convenience
269236135,51.5536808,-0.0049531,beverages
269236148,51.5526126,-0.0048234,beverages
269236151,51.5512123,-0.0039966,video
269346635,51.5983449,0.1579586,motorcycle
269611286,51.4236424,0.1715931,newsagent
269917197,51.4801073,0.1845589,supermarket
270175655,51.3254652,-0.2331335,bicycle
270386154,51.6790647,-0.3959847,bicycle
270491174,51.5135529,-0.033255,laundry
272079218,51.491243,-0.137553,supermarket
273535349,51.4993088,-0.0531248,convenience
273542309,51.4578136,-0.1121854,convenience
273933957,51.4889287,-0.1920763,convenience
273933960,51.4887767,-0.1924787,convenience
274865701,51.3225429,-0.2530375,convenience
275402055,51.4895763,-0.1348078,bakery
275727982,51.4949701,-0.1429797,convenience
276074178,51.497613,-0.1410069,supermarket
276091364,51.5144234,-0.2585975,convenience
276377466,51.5503834,-0.1177666,bookmaker
276487641,51.503714,-0.2358981,convenience
276487643,51.5036882,-0.2360241,convenience
277625214,51.4879919,-0.1411858,chemist
278080075,51.3842781,-0.1741903,convenience
278080076,51.3843325,-0.1742225,pound
278080077,51.3843769,-0.1742507,convenience
278080078,51.3844263,-0.1742896,furniture
278080079,51.3844848,-0.1743124,bakery
278080080,51.3845242,-0.1743781,dry_cleaning
278080081,51.3845476,-0.1744666,convenience
278080083,51.3846305,-0.1747027,charity
278080085,51.3846548,-0.1748059,greengrocer
278080086,51.3846355,-0.1748998,convenience
278080088,51.3846338,-0.1750742,convenience
278080092,51.3846313,-0.1753517,laundry
279051544,51.3848247,-0.1736593,convenience
279051549,51.3847552,-0.173843,video
279051553,51.3844798,-0.1738202,bookmaker
279051556,51.3843618,-0.1737411,bookmaker
279051615,51.3922619,-0.1761074,convenience
279051616,51.3925289,-0.1765305,convenience
279051618,51.392178,-0.1762094,curtain
279104463,51.5383321,-0.0764225,convenience
279217770,51.5160998,0.0093183,supermarket
279249196,51.5146218,-0.0572901,tyres
279372482,51.357413,-0.2165457,stationery
279547947,51.5567016,-0.0006039,funeral_directors
279547970,51.5580522,0.0066613,convenience
279547985,51.5568808,0.0063361,convenience
279580541,51.5373157,-0.0911765,convenience
279651203,51.5678316,-0.1225241,convenience
279651216,51.5636684,-0.1184167,convenience
