id,lat,lon,amenity
2244795347,51.4632999,-0.1332828,bar
2244800648,51.5003767,-0.1138166,coffee
2244810458,51.509263,-0.1946225,nightclub
2244853318,51.5132867,-0.1261258,art_gallery
2245386567,51.315937,-0.1159048,convenience
2245386795,51.3149745,-0.1145222,recycling
2246184901,51.4875421,-0.1168604,bicycle_rental
2246811599,51.5174679,-0.1753826,parking
2246856926,51.6054877,-0.3751797,retirement_home
2247165623,51.4979901,-0.2075917,post_box
2247165624,51.5000447,-0.2046142,post_box
2247198505,51.5001179,-0.1699882,post_box
2247296657,51.5021166,-0.1975803,embassy
2247296658,51.5007023,-0.1985408,post_box
2248823387,51.505021,-0.1137517,bicycle_parking
2248823407,51.5069008,-0.1127485,bicycle_parking
2248823419,51.5069877,-0.1128183,bicycle_parking
2248823431,51.5067337,-0.1119061,bicycle_parking
2248887738,51.5053046,-0.1109297,bicycle_parking
2248887744,51.5055452,-0.1112253,bicycle_parking
2248887749,51.5055918,-0.1111443,bicycle_parking
2248907876,51.5047474,-0.1104962,bicycle_parking
2248907880,51.5049843,-0.1110641,bicycle_parking
2248907883,51.5050778,-0.1109673,bicycle_parking
2248912648,51.5047004,-0.1104794,bicycle_parking
2248912649,51.5043498,-0.1105625,bicycle_parking
2248915744,51.5043233,-0.1103138,bicycle_parking
2248921705,51.5038723,-0.1102192,bicycle_parking
2248925977,51.5038256,-0.110187,bicycle_parking
2248925983,51.5036269,-0.1101683,bicycle_parking
2248940388,51.5039408,-0.1087427,bicycle_parking
2248940392,51.5039358,-0.108799,bicycle_parking
2248947055,51.5032479,-0.106853,bicycle_parking
2248994373,51.502716,-0.1103841,bicycle_parking
2248996382,51.5032446,-0.1110158,bicycle_parking
2248996727,51.5036787,-0.1114503,bicycle_parking
2249002728,51.4988766,-0.1123784,bicycle_parking
2249004774,51.4988416,-0.1125688,bicycle_parking
2249006210,51.497611,-0.1120404,bicycle_parking
2249006388,51.4965523,-0.1114557,bicycle_parking
2249007469,51.4954235,-0.1108817,bicycle_parking
2249008051,51.495654,-0.1126949,bicycle_parking
2249008052,51.4953333,-0.11277,bicycle_parking
2249009498,51.4942579,-0.1130543,bicycle_parking
2249012365,51.4931023,-0.1109729,bicycle_parking
2249015053,51.4930322,-0.1108066,bicycle_parking
2249015054,51.4927349,-0.1108334,bicycle_parking
2249015055,51.4930956,-0.1107798,bicycle_parking
2250250675,51.4635395,-0.1860279,convenience
2250331531,51.4892145,-0.110159,bicycle_parking
2250334590,51.489288,-0.1099498,bicycle_parking
2250337736,51.489779,-0.1082492,bicycle_parking
2250339262,51.489809,-0.1081151,bicycle_parking
2250340536,51.4893247,-0.1094938,bicycle_parking
2250342271,51.4903468,-0.1070744,bicycle_parking
2250342900,51.4904403,-0.1069296,bicycle_parking
2250343747,51.4903101,-0.1068921,bicycle_parking
2250344036,51.4907109,-0.1059586,bicycle_parking
2250344287,51.4907443,-0.1058567,bicycle_parking
2250344938,51.4909146,-0.1050306,bicycle_parking
2250346466,51.4897589,-0.1046658,bicycle_parking
2250349528,51.4882074,-0.1060928,bicycle_parking
2250355077,51.4880788,-0.1102073,bicycle_parking
2250359510,51.4871736,-0.1127339,bicycle_parking
2250360034,51.4883326,-0.1113123,bicycle_parking
2250360762,51.4872905,-0.1118327,bicycle_parking
2250361324,51.4872019,-0.1116932,bicycle_parking
2250363866,51.4863997,-0.1112414,bicycle_parking
2250365627,51.4861736,-0.111241,bicycle_parking
2250368625,51.4854713,-0.1115014,bicycle_parking
2250370131,51.4852745,-0.1111085,bicycle_parking
2250371225,51.4868712,-0.1148984,bicycle_parking
2250372028,51.4828058,-0.1133884,bicycle_parking
2250375888,51.4818737,-0.1125495,bicycle_parking
2250377388,51.4816716,-0.112691,bicycle_parking
2250378060,51.4810185,-0.1131604,bicycle_parking
2250378278,51.4810369,-0.1132569,bicycle_parking
2250378560,51.48092,-0.1108912,bicycle_parking
2250378611,51.4808414,-0.1109261,bicycle_parking
2250379198,51.480489,-0.1111621,bicycle_parking
2250379692,51.4800112,-0.1114357,bicycle_parking
2250380103,51.4796087,-0.111543,bicycle_parking
